127.0.0.1 - - [12/Apr/2024:14:31:53 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:31:55 +0700] "GET /MVC/ HTTP/1.1" 200 44655
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:31:55 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:07 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:12 +0700] "GET /MVC/login HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:13 +0700] "GET /MVC/login HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:14 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:14 +0700] "GET /MVC/ HTTP/1.1" 200 44653
0:0:0:0:0:0:0:1 - - [12/Apr/2024:14:46:21 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:17 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:22 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:24 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:28 +0700] "GET /MVC/tests HTTP/1.1" 200 27835
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:30 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:32 +0700] "GET /MVC/ HTTP/1.1" 200 44655
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:33 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:39 +0700] "GET /MVC/login HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:41 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:41 +0700] "GET /MVC/ HTTP/1.1" 200 44653
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:42 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:10:49 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:11:51 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:12:05 +0700] "GET /MVC/vocab-lists/vocab/review?listID=6 HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:12:16 +0700] "GET /MVC/vocab-lists/vocab/review?listID=6 HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:12:28 +0700] "GET /MVC/vocab-lists/vocab/review?listID=6 HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:12:37 +0700] "POST /MVC/vocab-lists/vocab/create?listID=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:12:37 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 8396
0:0:0:0:0:0:0:1 - - [12/Apr/2024:16:33:42 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:52:13 +0700] "GET /MVC/ HTTP/1.1" 200 44655
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:38 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:41 +0700] "GET /MVC/ HTTP/1.1" 200 44655
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:42 +0700] "GET /MVC/vocab-lists HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:45 +0700] "GET /MVC/login HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:45 +0700] "GET /MVC/login HTTP/1.1" 200 8411
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:47 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:19:53:47 +0700] "GET /MVC/ HTTP/1.1" 200 44653
